TaskType_id,Delivery_Dt,Dept_Name,Route_seq,Car_licence,Store_id,Store_Name,Pl_M_Arrive_dt,Ac_Arrive_dt,Im_Arrive_dt
12,2024-01-01,瑞芳DC,SC02,KPD0578,1001021455,濟南二店,2024-01-01 11:30:00,1/1/2024 1:25:36 PM,1/1/2024 2:25:00 PM
12,2024-01-01,瑞芳DC,SC03,KPD0578,1001019674,新北科店,2024-01-01 11:30:00,1/1/2024 1:31:10 PM,1/1/2024 2:30:00 PM
12,2024-01-01,瑞芳DC,SC04,KPD0578,1001016573,北科店,2024-01-01 11:30:00,1/1/2024 1:39:36 PM,1/1/2024 2:40:00 PM
12,2024-01-01,瑞芳DC,SC05,KPD0578,1001018581,昌隆店,2024-01-01 11:30:00,1/1/2024 1:45:31 PM,1/1/2024 2:45:00 PM
12,2024-01-01,瑞芳DC,SC06,KPD0578,1001022950,懷生店,2024-01-01 11:30:00,1/1/2024 1:51:16 PM,1/1/2024 2:50:00 PM
12,2024-01-01,瑞芳DC,SC07,KPD0578,1001018902,興忠店,2024-01-01 11:30:00,1/1/2024 1:58:29 PM,1/1/2024 2:55:00 PM
12,2024-01-01,瑞芳DC,SC08,KPD0578,1001020914,興仁店,2024-01-01 11:30:00,1/1/2024 1:58:29 PM,1/1/2024 3:00:00 PM
12,2024-01-01,瑞芳DC,SC09,KPD0578,1001019760,正興店,2024-01-01 11:30:00,1/1/2024 2:12:00 PM,1/1/2024 3:10:00 PM
12,2024-01-01,瑞芳DC,SC10,KPD0578,1001022634,金信店,2024-01-01 11:30:00,1/1/2024 2:24:58 PM,1/1/2024 3:20:00 PM
12,2024-01-01,瑞芳DC,SC11,KPD0578,1001022941,新生南路店,2024-01-01 11:30:00,1/1/2024 2:31:09 PM,1/1/2024 3:30:00 PM
12,2024-01-01,瑞芳DC,SC12,KPD0578,1001016790,大森店,2024-01-01 11:30:00,1/1/2024 2:37:02 PM,1/1/2024 3:35:00 PM
12,2024-01-01,瑞芳DC,SC13,KPD0578,1001014695,信美店,2024-01-01 11:30:00,1/1/2024 2:39:55 PM,1/1/2024 3:40:00 PM
12,2024-01-01,瑞芳DC,SC14,KPD0578,1001022593,義興店,2024-01-01 11:30:00,1/1/2024 2:48:17 PM,1/1/2024 3:45:00 PM
12,2024-01-01,瑞芳DC,SC15,KPD0578,1001019160,復豐店,2024-01-01 11:30:00,1/1/2024 2:51:46 PM,1/1/2024 3:50:00 PM
12,2024-01-01,瑞芳DC,SC16,KPD0578,1001021762,復豪店,2024-01-01 11:30:00,1/1/2024 3:01:01 PM,1/1/2024 3:55:00 PM
12,2024-01-01,瑞芳DC,SC17,KPD0578,1001018052,興南店,2024-01-01 11:30:00,1/1/2024 2:48:17 PM,1/1/2024 4:00:00 PM
12,2024-01-01,瑞芳DC,SC18,KPD0578,1001022101,建國店,2024-01-01 11:30:00,1/1/2024 3:08:57 PM,1/1/2024 4:05:00 PM
12,2024-01-01,瑞芳DC,SC19,KPD0578,1001023184,瑞和店,2024-01-01 11:30:00,1/1/2024 3:12:34 PM,1/1/2024 4:10:00 PM
12,2024-01-01,瑞芳DC,SCDC,KPD0578,3001888888,瑞芳ＤＣ,2024-01-01 11:30:00,1/1/2024 3:48:27 PM,1/1/2024 5:40:00 PM
05,2024-01-02,瑞芳DC,LEDC,KPD0578,S3001888888,瑞芳ＤＣ,2024-01-01 18:00:00,,
05,2024-01-02,瑞芳DC,LE01,KPD0578,1001021961,台興店,2024-01-01 18:00:00,1/1/2024 6:54:22 PM,1/1/2024 7:50:00 PM
05,2024-01-02,瑞芳DC,LE02,KPD0578,1001018658,台科店,2024-01-01 18:00:00,1/1/2024 7:05:03 PM,1/1/2024 8:05:00 PM
05,2024-01-02,瑞芳DC,LE03,KPD0578,1001022661,台大二活店,2024-01-01 18:00:00,1/1/2024 7:20:47 PM,1/1/2024 8:15:00 PM
05,2024-01-02,瑞芳DC,LE04,KPD0578,1001020038,台一宿舍店,2024-01-01 18:00:00,1/1/2024 7:29:38 PM,1/1/2024 8:25:00 PM
05,2024-01-02,瑞芳DC,LE05,KPD0578,1001022110,台大楓林店,2024-01-01 18:00:00,1/1/2024 7:37:24 PM,1/1/2024 8:35:00 PM
05,2024-01-02,瑞芳DC,LE06,KPD0578,1001022350,台福店,2024-01-01 18:00:00,1/1/2024 7:42:10 PM,1/1/2024 8:40:00 PM
05,2024-01-02,瑞芳DC,LE07,KPD0578,1001022122,羅騰店,2024-01-01 18:00:00,1/1/2024 7:51:38 PM,1/1/2024 8:50:00 PM
05,2024-01-02,瑞芳DC,LE08,KPD0578,1001022338,台新店,2024-01-01 18:00:00,1/1/2024 7:58:40 PM,1/1/2024 8:55:00 PM
05,2024-01-02,瑞芳DC,LE09,KPD0578,1001019500,泰順店,2024-01-01 18:00:00,1/1/2024 8:03:22 PM,1/1/2024 9:00:00 PM
05,2024-01-02,瑞芳DC,LE10,KPD0578,1001022012,台師店,2024-01-01 18:00:00,1/1/2024 8:09:09 PM,1/1/2024 9:05:00 PM
05,2024-01-02,瑞芳DC,LE11,KPD0578,1001022413,師大店,2024-01-01 18:00:00,1/1/2024 8:12:00 PM,1/1/2024 9:10:00 PM
05,2024-01-02,瑞芳DC,LE12,KPD0578,1001020660,古亭店,2024-01-01 18:00:00,1/1/2024 8:18:52 PM,1/1/2024 9:15:00 PM
05,2024-01-02,瑞芳DC,LE13,KPD0578,1001022951,羅中店,2024-01-01 18:00:00,1/1/2024 8:24:01 PM,1/1/2024 9:20:00 PM
05,2024-01-02,瑞芳DC,LE14,KPD0578,1001022990,潮州店,2024-01-01 18:00:00,1/1/2024 8:27:28 PM,1/1/2024 9:25:00 PM
05,2024-01-02,瑞芳DC,LE15,KPD0578,1001018080,和新店,2024-01-01 18:00:00,1/1/2024 8:36:08 PM,1/1/2024 9:30:00 PM
05,2024-01-02,瑞芳DC,LE16,KPD0578,1001021296,辛亥店,2024-01-01 18:00:00,1/1/2024 8:41:58 PM,1/1/2024 9:35:00 PM
05,2024-01-02,瑞芳DC,LE18,KPD0578,1001022801,國立教育店,2024-01-01 18:00:00,1/1/2024 8:46:27 PM,1/1/2024 9:45:00 PM
