商店名稱,電話,address,商店編號,Latitude,Longitude
全家寶慶店,223898700,台北市中正區延平南路１１１號,11554,25.041816,121.509581
全家和醫店,223122560,台北市中正區延平南路１５９號１樓,19227,25.035249,121.5077585
全家郡王店,223719902,台北市中正區延平南路６８號,14239,25.0450463,121.5103524
全家台六宿舍店,233226216,台北市中正區徐州路２之２號１Ｆ,60054,25.0411999,121.5207535
全家善導寺店,223964652,台北市中正區忠孝東路一段９號１樓,60189,25.0449952,121.523565
全家兆豐店,223418109,台北市中正區忠孝東路二段９３號１樓,58710,25.0431607,121.5309479
全家鴻啟店,223142878,台北市中正區忠孝西路一段１００號,18916,25.047133,121.5126107
全家凱撒店,223898803,台北市中正區忠孝西路一段３８號１樓（部份）,58141,25.0461917,121.5164263
全家北車店,289411871,台北市中正區忠孝西路一段４５號１Ｆ部分,59102,25.0463586,121.5178865
全家亞慶店,223706675,台北市中正區忠孝西路一段５０號１樓,56918,25.0461226,121.5157638
全家教育大學店,223888317,台北市中正區愛國西路１號,56575,25.0356043,121.5142953
全家西站店,223120577,台北市中正區懷寧街７之１號,10886,25.0462152,121.5142789
全家文祥店,223914884,台北市中正區杭州南路一段１４７號,11059,25.0359278,121.5246559
全家富邦店,223513120,台北市中正區杭州南路一段１９號１Ｆ,60254,25.0426274,121.5266225
全家林森南路店,223519110,台北市中正區林森南路５７．５９號,10062,25.0398908,121.5221471
全家新龍口店,223047184,台北市中正區汀州路一段２４４號,52543,25.0272042,121.5103399
全家文盛店,223681345,台北市中正區汀州路三段１７３號,11178,25.0150324,121.5325205
全家公館店,223688539,台北市中正區汀州路三段２５１號,10053,25.0136888,121.5343786
全家水源店,223642257,台北市中正區汀州路三段２６１號,11471,25.0128419,121.5352303
全家金門店,223642756,台北市中正區汀州路二段２１６號１樓,19851,25.0223269,121.5238063
全家新廈門店,223681443,台北市中正區汀州路二段３８號１樓,54051,25.0252771,121.5176064
全家漢盛店,223117024,台北市中正區漢口街一段１８號,55850,25.0450598,121.5144049
全家齊東店,223942076,台北市中正區濟南路二段３－７號１樓,11410,25.0416088,121.5265853
全家福昌店,223913137,台北市中正區福州街１０號１樓（部份）,57358,25.0294673,121.5200055
全家羅館店,223675612,台北市中正區羅斯福路三段２４４巷７號１樓,61353,25.016874,121.5307609
全家館中店,223672204,台北市中正區羅斯福路三段３１６巷８弄１號１樓,14450,25.0157915,121.5326324
全家金安店,223654620,台北市中正區羅斯福路三段８號１＋２樓,58768,25.0234,121.5248121
全家羅安店,223654518,台北市中正區羅斯福路二段１４０號１樓,58528,25.025806,121.522937
全家羅斯店,223962007,台北市中正區羅斯福路２段６２號１樓,58140,25.0275299,121.5217742
全家衡慶店,223820271,台北市中正區衡陽路７號１樓部分（如附圖）,57203,25.042422,121.513769
全家新衡陽店,223711130,台北市中正區衡陽路７７號一樓,56722,25.0423439,121.511041
全家富陽店,223754181,台北市中正區襄陽路７號１樓,12933,25.0436342,121.5158121
全家昌盛店,223123067,台北市中正區許昌街１４號１Ｆ,61213,25.0454177,121.5167853
全家辛館店,223688257,台北市中正區辛亥路一段１３號,61688,25.0190298,121.5279164
全家機場捷運店,223311029,台北市中正區鄭州路８號Ｂ１樓,61597,25.0487218,121.5142266
全家重慶店,223122797,台北市中正區重慶南路一段５８號,14199,25.043901,121.513106
全家開封店,223709020,台北市中正區開封街一段４１號１樓,16474,25.046128,121.51255
全家北盛店,223612673,台北市中正區青島西路１３號,62091,25.0450638,121.5176335
全家新仟囍店,223822831,台北市中正區館前路３６號１樓,54430,25.0446152,121.5147991
全家台鐵一店,223614184,臺北市中正區北平西路３號Ｂ１,58687,25.047702,121.5173735
全家南海店,223564283,臺北市中正區南海路２０號,51143,25.0324868,121.5171185
全家信吉店,227866062,台北市信義區中坡北路２５號,61431,25.045005,121.580735
全家新中坡店,227270460,台北市信義區中坡南路２２９號,51736,25.0406227,121.5851154
全家協和店,227590819,台北市信義區中坡南路３８號１Ｆ,10245,25.0428191,121.5833667
全家祥和店,227291793,台北市信義區信義路五段１５０巷４０１弄３１號,10089,25.02409,121.57042
全家松友店,223460402,台北市信義區信義路六段７８號,16906,25.035255,121.577016
全家松仁店,227237309,台北市信義區信義路５段１５０巷２２１號,14496,25.028411,121.568751
全家松創店,227495690,台北市信義區光復南路１３３號（一號變電站庫房）,59776,25.0435451,121.5593832
全家光復南路店,227294291,台北市信義區光復南路４４７之２號,10009,25.0352215,121.5580605
全家復昌店,223459489,台北市信義區光復南路５０５號、５０７號及文昌街３２,16310,25.0320589,121.5576401
全家富興店,227326104,台北市信義區吳興街１５６巷１６弄１號１樓,60129,25.0287855,121.561009
全家北醫店,227229824,台北市信義區吳興街２６３號,10686,25.0270919,121.5638048
全家盛興店,227201400,台北市信義區吳興街３３４號,55289,25.0261195,121.566122
全家挹翠店,225475096,台北市信義區吳興街６００巷５６號,61292,25.0202755,121.5698427
全家三興店,227232796,台北市信義區吳興街７號,11588,25.0317675,121.5595
全家六張黎店,227338739,台北市信義區和平東路三段３８７號,10014,25.0198489,121.5575787
全家財盛店,227130655,台北市信義區基隆路二段１１３之２號,61166,25.0286755,121.5571383
全家永隆店,227678120,台北市信義區基隆路１段１４７巷７號,14406,25.0419415,121.5653136
全家大道店,227276692,台北市信義區大道路７９號１樓,12233,25.0407616,121.5826419
全家崇德店,227333493,台北市信義區崇德街２９號,18701,25.0244329,121.5538742
全家台北１０１店,281017976,台北市信義區市府路４５號Ｂ１（商場編號５３）,59399,25.0338492,121.5643085
全家忠信店,227422963,台北市信義區忠孝東路五段４２５號１樓及地下室,15318,25.041112,121.575451
全家松安店,287683628,台北市信義區忠孝東路五段４６５號１樓,60836,25.0410336,121.5771219
全家忠美店,227274597,台北市信義區忠孝東路五段４９８號１樓及地下１樓,59610,25.0408819,121.578473
全家新忠隆店,227493532,台北市信義區忠孝東路五段７１巷８號壹樓,52808,25.0417726,121.5672043
全家聯合店,227685432,台北市信義區忠孝東路四段５５３巷６弄１７號１樓,12899,25.0423601,121.5634999
全家南山廣場店,227585233,台北市信義區松仁路１００號６樓之１,58449,25.0344055,121.5671656
全家新安興店,227204938,台北市信義區松仁路２４０巷２號,56145,25.0248579,121.5692001
全家永孝店,227678185,台北市信義區松信路１４５號,10890,25.043543,121.572162
全家建鑫店,227233205,台北市信義區松壽路２４號,14277,25.0353759,121.5676908
全家松山車站店,227471585,台北市信義區松山路１１號,60236,25.0493066,121.5791866
全家松傑店,227656379,台北市信義區松山路１１號地下１樓,62641,25.0492345,121.5786341
全家松盛店,227606140,台北市信義區松山路１５３號,11992,25.0465425,121.5779352
全家松永店,223465356,台北市信義區松德路１５７號,56465,25.0365336,121.5749443
全家信安店,287895039,台北市信義區松德路２００巷１３號１樓,53880,25.0345309,121.5736941
全家新信德店,223465799,台北市信義區松德路２８３號,53167,25.032428,121.5746406
全家永吉二店,227491648,台北市信義區永吉路２２３號,10403,25.0457259,121.5741592
全家厚雅店,227659814,台北市信義區永吉路３０巷１１８號１樓,57356,25.043123,121.5686637
全家景聯店,287861164,台北市信義區莊敬路１９０號１樓及地下室,60557,25.0307553,121.5611362
全家莊新店,227581883,台北市信義區莊敬路３０７號,54036,25.028451,121.563382
全家莊敬店,227201156,台北市信義區莊敬路３７４號,11004,25.0275297,121.5648783
全家欣富台店,227491525,台北市信義區虎林街１２０巷１６５號,52156,25.0422431,121.5742114
全家海華店,287890667,台北市信義區虎林街１３２巷８１號１樓,11460,25.0402508,121.5741078
全家忠林店,287891305,台北市信義區虎林街１６６號１樓及地下室,15453,25.0390527,121.5764427
全家新松林店,227493109,台北市信義區虎林街６１－４號,52985,25.046285,121.577116
全家永林店,227470209,台北市信義區虎林街８２巷２３號,11092,25.0434378,121.5762287
全家逸鑫店,227206664,台北市信義區逸仙路４２巷２３號,58712,25.0403546,121.563093
全家新貿店,287802293,臺北市信義區信義路四段４０７號壹樓,51448,25.0333083,121.5588881
全家湖安店,226591427,台北市內湖區內湖路一段２８５巷１９號１樓,10876,25.0829709,121.5669829
全家碧湖店,226277149,台北市內湖區內湖路一段５９３號一樓及地下室,15331,25.0809546,121.5733563
全家麗水店,226272956,台北市內湖區內湖路一段７３３號１樓,56568,25.0791388,121.5781871
全家麗山店,226279495,台北市內湖區內湖路一段７３７巷４９號,10188,25.080342,121.579035
全家陽湖店,226277102,台北市內湖區內湖路一段９１巷４號１樓,57818,25.084811,121.56156
全家台塑店,227940810,台北市內湖區南京東路六段３７０號,62836,25.0594936,121.5878794
全家精英店,226579148,台北市內湖區堤頂大道二段２４１號壹樓,16748,25.0786692,121.5672366
全家新瑞店,226592842,台北市內湖區堤頂大道２段４０７巷２６號一樓,15377,25.081055,121.563427
全家東安店,226345521,台北市內湖區安康路４８０號,11264,25.0678598,121.6158416
全家紫新店,227940091,台北市內湖區康寧路ㄧ段３７號ㄧ樓,56456,25.0852396,121.5589651
全家康雲店,227940805,台北市內湖區康寧路一段１１６號及地下室,55810,25.0794499,121.593333
全家東茂店,226317208,台北市內湖區康寧路三段１８９巷１２號１樓,60130,25.0702985,121.6126635
全家湖東店,226316023,台北市內湖區康樂街１１０巷１５號,62617,25.0707876,121.618459
全家康福店,226339860,台北市內湖區康樂街８７號,14453,25.0696639,121.6188527
全家湖興店,287926469,台北市內湖區成功路二段３２０巷２８號１樓,61254,25.0675351,121.589295
全家鑫三總店,287917684,台北市內湖區成功路二段３２５號Ｂ１Ｆ,63658,25.0716694,121.5928527
全家湖捷店,227946716,台北市內湖區成功路四段１７８號１樓,58313,25.0835882,121.5938554
全家德湖店,287923344,台北市內湖區成功路四段６２號１樓及Ｂ１,57622,25.0827071,121.5925068
全家紫陽店,287519703,台北市內湖區文德路２１２號,14132,25.0782428,121.5839876
全家瑞陽店,226597471,台北市內湖區文德路９０巷４９號,12171,25.0772411,121.5834657
全家湖茂店,227978682,台北市內湖區文湖街２１巷７號１樓,61291,25.0870375,121.5601355
全家文湖店,227973433,台北市內湖區文湖街５９號,14540,25.0868174,121.5626777
全家興盛店,227903667,台北市內湖區新明路１８２號,11482,25.0574596,121.5853369
全家行美店,227945755,台北市內湖區新明路３７６號,62741,25.0549193,121.580523
全家新湖店,227937065,台北市內湖區新湖二路２５０巷８號１樓,12915,25.0648484,121.582506
全家星湖店,227906271,台北市內湖區星雲街１６１巷１號,52945,25.0809091,121.5962599
全家民善店,287922468,台北市內湖區民善街１號１樓,57999,25.0575383,121.5771275
全家內華店,227911354,台北市內湖區民權東路六段１６２號,14448,25.0685084,121.5917815
全家湖洲店,226308735,台北市內湖區民權東路六段２９６巷７０號１樓,61293,25.0702071,121.6089497
全家三民店,227942827,台北市內湖區民權東路六段９０巷１號,10035,25.0687168,121.5861291
